"Entity","Year","GDP (IN $)","Annual CO₂ emissions (per capita)","GDP per Capita","Population","Annual CO₂ emissions"
"World","1970",3003540496240.13,4.032584,816.048860526924,3680589045,14899124000
"World","1971",3319027899480.72,4.112594,883.045798367035,3758613546,15503855000
"World","1972",3833708718081.18,4.2197514,999.807637437879,3834446322,16224597000
"World","1973",4688479153647.36,4.3575473,1198.77194786943,3911068458,17085094000
"World","1974",5419268099653.94,4.256582,1359.13423325737,3987294240,17011072000
"World","1975",6033913861320.21,4.1891084,1485.42804925941,4062070771,17052752000
"World","1976",6559468891337.8,4.340744,1586.03768316799,4135758539,17989112000
"World","1977",7415806396991.26,4.385783,1761.90995025744,4208958804,18498636000
"World","1978",8779411323126.77,4.442884,2049.62125805063,4283431043,19069290000
"World","1979",10155057859289.1,4.4886904,2329.11158143734,4360056401,19609020000
"World","1980",11451170034154.7,4.3818007,2580.48552627334,4437602892,19488524000
"World","1981",11841581193682.8,4.20045,2621.60165908817,4516926190,19022903000
"World","1982",11717779602332.8,4.091141,2547.59857202244,4599539241,18871097000
"World","1983",11961355656014.3,4.043131,2554.24907321511,4682924536,18991910000
"World","1984",12426298948063.8,4.1085486,2607.2584715794,4766040300,19647801000
"World","1985",13015126741165.1,4.1717267,2683.12146741845,4850740788,20311902000
"World","1986",15345851424081.5,4.157858,3107.8873748279,4937711562,20614963000
"World","1987",17468553825521,4.208147,3474.92512666361,5027030278,21250075000
"World","1988",19519047023614.8,4.295053,3814.42446586719,5117167006,22085130000
"World","1989",20388471827492.5,4.2768035,3915.09659378653,5207654866,22386637000
"World","1990",22908354034045.6,4.266109,4322.94533252014,5299246757,22728989000
"World","1991",23910596567368.3,4.278877,4437.34124617601,5388496228,23186102000
"World","1992",25534904654814.5,4.091575,4662.10091609904,5477123965,22528172000
"World","1993",25961274908090.3,4.069678,4665.28440408836,5564778620,22755787000
"World","1994",27945244047282.9,4.051227,4945.31412725872,5650853177,22992947000
"World","1995",31154594865009.5,4.0862265,5430.93609482542,5736505516,23532083000
"World","1996",31872116364319.2,4.152334,5473.8495352241,5822614626,24258169000
"World","1997",31767295510781.6,4.118613,5376.57194202877,5908466557,24401906000
"World","1998",31711056230286.6,4.0458646,5290.43114355242,5994040064,24303778000
"World","1999",32757333536608.6,4.081738,5389.13368056328,6078404337,24853730000
"World","2000",33868713738357.9,4.1334705,5496.48602289621,6161884811,25510554000
"World","2001",33662293242135.4,4.1097608,5390.18169067758,6245112906,25706293000
"World","2002",34959942302257.2,4.146101,5525.02965959379,6327557399,26276870000
"World","2003",39205591618517.2,4.3096466,6116.55507954544,6409750441,27669490000
"World","2004",44181897123631.9,4.4027133,6804.78414952586,6492769815,28632506000
"World","2005",47847635179349.8,4.4959054,7276.27561213148,6575841506,29614395000
"World","2006",51859668488984.3,4.5909643,7786.76387235499,6659977025,30628397000
"World","2007",58448614438455.8,4.666746,8666.12889140605,6744489399,31534645000
"World","2008",64232292784905.6,4.6861563,9403.72819691415,6830513541,32074200000
"World","2009",60909219885221,4.549688,8806.25100952158,6916589116,31541922000
"World","2010",66722149003894.3,4.750381,9530.01080884583,7001266876,33355903000
"World","2011",74213035604821,4.852329,10471.5364278845,7087120034,34504540000
"World","2012",75866007009764.4,4.8603024,10570.7588133609,7176968877,35000020000
"World","2013",78070094837109.7,4.8412857,10744.6203643034,7265970522,35301655000
"World","2014",80247427618833.9,4.802484,10911.8067383149,7354183367,35450094000
"World","2015",75723635302571.9,4.7392993,10175.4094195078,7441826877,35404900000
"World","2016",76957345383656.6,4.685639,10221.3659804648,7529066617,35416658000
"World","2017",81974795709110.1,4.707258,10765.2662233504,7614748582,35989897000
"World","2018",87188987385051.5,4.751732,11326.9339016063,7697492379,36730425000
"World","2019",88492389499432,4.7500806,11376.8233409998,7778303912,37104275000
"World","2020",86116567565730.4,4.453724,10963.1756422364,7855075060,35126526000
"World","2021",98365745535038.5,4.650446,12418.5659245064,7920861888,36991734000
"World","2022",102434886179161,4.649288,12819.7448379733,7990399768,37293834000
"World","2023",106939249843452,4.6703916,13259.7098707258,8064976601,37791570000
